任务ID,任务名称,开始日期,结束日期,持续天数,是否关键路径,完成进度,子任务总数,已完成子任务,X坐标,Y坐标
task_001,需求调研,2025/1/1,2025/1/3,3,是,100%,2,2,100,100
task_002,原型设计,2025/1/4,2025/1/7,4,是,75%,4,3,350,100
task_003,UI设计,2025/1/8,2025/1/12,5,否,50%,3,1,100,250
task_004,前端开发,2025/1/13,2025/1/22,10,是,0%,5,0,350,250
task_005,后端开发,2025/1/13,2025/1/25,13,是,0%,6,0,600,250
task_006,接口联调,2025/1/26,2025/1/28,3,是,0%,2,0,850,250
task_007,功能测试,2025/1/29,2025/2/2,5,否,0%,4,0,100,400
task_008,用户验收,2025/2/3,2025/2/5,3,是,0%,2,0,350,400
task_009,部署发布,2025/2/6,2025/2/7,2,是,0%,3,0,600,400
task_010,运维监控,2025/2/8,2025/2/10,3,否,0%,2,0,850,400

